t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u,yref,tempo_computacional,cod_erro
84346,180.14999389648438,-3.5157904624938965,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84356,180.14999389648438,-1.7578952312469482,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84366,180.14999389648438,-0.8789476156234741,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84376,180.0,-7.939021587371826,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84385,180.0,-3.969510793685913,-0.096308633685112,0.0,-0.5961034297943115,0.010989189147949219,4450.0,0.0
84396,179.85000610351562,-9.484986305236816,-0.096308633685112,0.0,-0.5961034297943115,0.010989189147949219,4450.0,0.0
84406,179.6999969482422,-12.24272346496582,-0.096308633685112,0.0,-0.5961034297943115,0.010989189147949219,4450.0,0.0
84416,179.6999969482422,-6.12136173248291,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84426,179.55001831054688,-10.560229301452637,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84436,179.40000915527344,-12.78034496307373,-0.096308633685112,0.0,-0.5961034297943115,0.010989189147949219,4450.0,0.0
84446,179.40000915527344,-6.390172481536865,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84456,179.40000915527344,-3.1950862407684326,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84466,179.25,-9.097773551940918,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84476,179.25,-4.548886775970459,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84485,179.25,-2.2744433879852295,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84496,179.10000610351562,-8.63676929473877,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84506,178.9499969482422,-11.818615913391113,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84516,178.79998779296875,-13.409537315368652,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84526,178.79998779296875,-6.704768657684326,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84536,178.65000915527344,-10.851932525634766,-0.096308633685112,0.0,-0.5961034297943115,0.01831531524658203,4450.0,0.0
84546,178.5,-12.926197052001953,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84556,178.5,-6.463098526000977,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84566,178.5,-3.2315492630004883,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84576,178.5,-1.6157746315002441,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84585,178.65000915527344,6.692343711853027,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84596,178.79998779296875,10.845720291137695,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84606,179.10000610351562,20.423322677612305,-0.096308633685112,0.0,-0.5961034297943115,0.01831531524658203,4450.0,0.0
84616,179.25,17.71120834350586,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84626,179.55001831054688,23.856063842773438,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84636,179.6999969482422,19.427579879760742,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84646,179.85000610351562,17.214019775390625,-0.096308633685112,0.0,-0.5961034297943115,0.010989189147949219,4450.0,0.0
84656,180.0,16.107240676879883,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84666,180.0,8.053620338439941,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84676,180.0,4.026810169219971,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84685,180.0,2.0134050846099854,-0.096308633685112,0.0,-0.5961034297943115,0.010989189147949219,4450.0,0.0
84696,180.0,1.0067025423049927,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84706,180.0,0.5033512711524963,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84716,180.0,0.25167563557624817,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84726,180.0,0.12583781778812408,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84736,180.0,0.06291890889406204,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84746,180.0,0.03145945444703102,-0.096308633685112,0.0,-0.5961034297943115,0.010989189147949219,4450.0,0.0
84756,180.14999389648438,7.515277862548828,-0.096308633685112,0.0,-0.5961034297943115,0.010989189147949219,4450.0,0.0
84766,180.14999389648438,3.757638931274414,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84776,180.14999389648438,1.878819465637207,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84785,180.14999389648438,0.9394097328186035,-0.096308633685112,0.0,-0.5961034297943115,0.025641441345214844,4450.0,0.0
84796,180.14999389648438,0.46970486640930176,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84806,180.29998779296875,7.73508358001709,-0.096308633685112,0.0,-0.5961034297943115,0.010989189147949219,4450.0,0.0
84816,180.29998779296875,3.867541790008545,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84826,180.4499969482422,9.434001922607422,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84836,180.60000610351562,12.216547966003418,-0.096308633685112,0.0,-0.5961034297943115,0.01831531524658203,4450.0,0.0
84846,180.75,13.608505249023438,-0.096308633685112,0.0,-0.5961034297943115,0.010989189147949219,4450.0,0.0
84856,180.90000915527344,14.304482460021973,-0.096308633685112,0.0,-0.5961034297943115,0.010989189147949219,4450.0,0.0
84866,181.0500030517578,14.651788711547852,-0.096308633685112,0.0,-0.5961034297943115,0.010989189147949219,4450.0,0.0
84876,181.1999969482422,14.826125144958496,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
84885,181.1999969482422,7.413062572479248,-0.096308633685112,0.0,-0.5961034297943115,0.0036630630493164062,4450.0,0.0
