t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u,yref,tempo_computacional,cod_erro
13136,175.0500030517578,2.402407169342041,0.0,0.0,0.0,0.0,0.0,0.0
13146,175.1999969482422,8.700751304626465,0.0,0.0,0.0,0.0,0.0,0.0
13156,175.1999969482422,4.350375652313232,0.0,0.0,0.0,0.0,0.0,0.0
13166,175.1999969482422,2.175187826156616,0.0,0.0,0.0,0.0,0.0,0.0
13176,175.35000610351562,8.587824821472168,0.0,0.0,0.0,0.0,0.0,0.0
13185,175.35000610351562,4.293912410736084,0.0,0.0,0.0,0.0,0.0,0.0
13196,175.35000610351562,2.146956205368042,0.0,0.0,0.0,0.0,0.0,0.0
13206,175.50001525878906,8.573708534240723,0.0,0.0,0.0,0.0,0.0,0.0
13216,175.50001525878906,4.286854267120361,0.0,0.0,0.0,0.0,0.0,0.0
13226,175.50001525878906,2.1434271335601807,0.0,0.0,0.0,0.0,0.0,0.0
13236,175.64999389648438,8.571261405944824,0.0,0.0,0.0,0.0,0.0,0.0
13246,175.64999389648438,4.285630702972412,0.0,0.0,0.0,0.0,0.0,0.0
13256,175.64999389648438,2.142815351486206,0.0,0.0,0.0,0.0,0.0,0.0
13266,175.8000030517578,8.571638107299805,0.0,0.0,0.0,0.0,0.0,0.0
13276,175.8000030517578,4.285819053649902,0.0,0.0,0.0,0.0,0.0,0.0
13285,175.8000030517578,2.142909526824951,0.0,0.0,0.0,0.0,0.0,0.0
13296,175.8000030517578,1.0714547634124756,0.0,0.0,0.0,0.0,0.0,0.0
13306,175.8000030517578,0.5357273817062378,0.0,0.0,0.0,0.0,0.0,0.0
13316,175.8000030517578,0.2678636908531189,0.0,0.0,0.0,0.0,0.0,0.0
13326,175.8000030517578,0.13393184542655945,0.0,0.0,0.0,0.0,0.0,0.0
13336,175.8000030517578,0.06696592271327972,0.0,0.0,0.0,0.0,0.0,0.0
13346,175.64999389648438,-7.466747760772705,0.0,0.0,0.0,0.0,0.0,0.0
13356,175.64999389648438,-3.7333738803863525,0.0,0.0,0.0,0.0,0.0,0.0
13365,175.50001525878906,-9.36623477935791,0.0,0.0,0.0,0.0,0.0,0.0
13376,175.50001525878906,-4.683117389678955,0.0,0.0,0.0,0.0,0.0,0.0
13385,175.50001525878906,-2.3415586948394775,0.0,0.0,0.0,0.0,0.0,0.0
13396,175.35000610351562,-8.671010971069336,0.0,0.0,0.0,0.0,0.0,0.0
13406,175.35000610351562,-4.335505485534668,0.0,0.0,0.0,0.0,0.0,0.0
13416,175.35000610351562,-2.167752742767334,0.0,0.0,0.0,0.0,0.0,0.0
13426,175.35000610351562,-1.083876371383667,0.0,0.0,0.0,0.0,0.0,0.0
13436,175.50001525878906,6.958292484283447,0.0,0.0,0.0,0.0,0.0,0.0
13446,175.50001525878906,3.4791462421417236,0.0,0.0,0.0,0.0,0.0,0.0
13456,175.50001525878906,1.7395731210708618,0.0,0.0,0.0,0.0,0.0,0.0
13465,175.64999389648438,8.369335174560547,0.0,0.0,0.0,0.0,0.0,0.0
13476,175.64999389648438,4.184667587280273,0.0,0.0,0.0,0.0,0.0,0.0
13485,175.64999389648438,2.0923337936401367,0.0,0.0,0.0,0.0,0.0,0.0
13496,175.8000030517578,8.54639720916748,0.0,0.0,0.0,0.0,0.0,0.0
13506,175.8000030517578,4.27319860458374,0.0,0.0,0.0,0.0,0.0,0.0
13516,175.8000030517578,2.13659930229187,0.0,0.0,0.0,0.0,0.0,0.0
13526,175.8000030517578,1.068299651145935,0.0,0.0,0.0,0.0,0.0,0.0
13536,175.95001220703125,8.034380912780762,0.0,0.0,0.0,0.0,0.0,0.0
13546,175.95001220703125,4.017190456390381,0.0,0.0,0.0,0.0,0.0,0.0
13556,175.95001220703125,2.0085952281951904,0.0,0.0,0.0,0.0,0.0,0.0
13565,175.95001220703125,1.0042976140975952,0.0,0.0,0.0,0.0,0.0,0.0
13576,176.09999084472656,8.001696586608887,0.0,0.0,0.0,0.0,0.0,0.0
13585,176.09999084472656,4.000848293304443,0.0,0.0,0.0,0.0,0.0,0.0
13596,176.09999084472656,2.0004241466522217,0.0,0.0,0.0,0.0,0.0,0.0
13606,176.09999084472656,1.0002120733261108,0.0,0.0,0.0,0.0,0.0,0.0
13616,176.09999084472656,0.5001060366630554,0.0,0.0,0.0,0.0,0.0,0.0
13626,176.09999084472656,0.2500530183315277,0.0,0.0,0.0,0.0,0.0,0.0
13636,176.09999084472656,0.12502650916576385,0.0,0.0,0.0,0.0,0.0,0.0
13646,176.09999084472656,0.06251325458288193,0.0,0.0,0.0,0.0,0.0,0.0
13656,175.95001220703125,-7.46829080581665,0.0,0.0,0.0,0.0,0.0,0.0
13665,175.95001220703125,-3.734145402908325,0.0,0.0,0.0,0.0,0.0,0.0
13676,175.95001220703125,-1.8670727014541626,0.0,0.0,0.0,0.0,0.0,0.0
13685,175.8000030517578,-8.433767318725586,0.0,0.0,0.0,0.0,0.0,0.0
13696,175.8000030517578,-4.216883659362793,0.0,0.0,0.0,0.0,0.0,0.0
13706,175.8000030517578,-2.1084418296813965,0.0,0.0,0.0,0.0,0.0,0.0
13716,175.8000030517578,-1.0542209148406982,0.0,0.0,0.0,0.0,0.0,0.0
13726,175.8000030517578,-0.5271104574203491,0.0,0.0,0.0,0.0,0.0,0.0
13736,175.8000030517578,-0.26355522871017456,0.0,0.0,0.0,0.0,0.0,0.0
13746,175.8000030517578,-0.13177761435508728,0.0,0.0,0.0,0.0,0.0,0.0
13756,175.8000030517578,-0.06588880717754364,0.0,0.0,0.0,0.0,0.0,0.0
13766,175.8000030517578,-0.03294440358877182,0.0,0.0,0.0,0.0,0.0,0.0
13776,175.8000030517578,-0.01647220179438591,0.0,0.0,0.0,0.0,0.0,0.0
13785,175.8000030517578,-0.008236100897192955,0.0,0.0,0.0,0.0,0.0,0.0
13796,175.8000030517578,-0.0041180504485964775,0.0,0.0,0.0,0.0,0.0,0.0
13806,175.8000030517578,-0.0020590252242982388,0.0,0.0,0.0,0.0,0.0,0.0
13816,175.8000030517578,-0.0010295126121491194,0.0,0.0,0.0,0.0,0.0,0.0
13826,175.64999389648438,-7.50074577331543,0.0,0.0,0.0,0.0,0.0,0.0
13836,175.64999389648438,-3.750372886657715,0.0,0.0,0.0,0.0,0.0,0.0
13846,175.64999389648438,-1.8751864433288574,0.0,0.0,0.0,0.0,0.0,0.0
13856,175.64999389648438,-0.9375932216644287,0.0,0.0,0.0,0.0,0.0,0.0
13866,175.64999389648438,-0.46879661083221436,0.0,0.0,0.0,0.0,0.0,0.0
13876,175.64999389648438,-0.23439830541610718,0.0,0.0,0.0,0.0,0.0,0.0
13885,175.64999389648438,-0.11719915270805359,0.0,0.0,0.0,0.0,0.0,0.0
13896,175.8000030517578,7.441631317138672,0.0,0.0,0.0,0.0,0.0,0.0
13906,175.8000030517578,3.720815658569336,0.0,0.0,0.0,0.0,0.0,0.0
13916,175.95001220703125,9.360638618469238,0.0,0.0,0.0,0.0,0.0,0.0
13926,176.09999084472656,12.179866790771484,0.0,0.0,0.0,0.0,0.0,0.0
13936,176.09999084472656,6.089933395385742,0.0,0.0,0.0,0.0,0.0,0.0
13946,176.25,10.545197486877441,0.0,0.0,0.0,0.0,0.0,0.0
13956,176.39999389648438,12.772829055786133,0.0,0.0,0.0,0.0,0.0,0.0
13966,176.5500030517578,13.88596248626709,0.0,0.0,0.0,0.0,0.0,0.0
13976,176.70001220703125,14.443211555480957,0.0,0.0,0.0,0.0,0.0,0.0
13985,176.85000610351562,14.721837043762207,0.0,0.0,0.0,0.0,0.0,0.0
13996,177.0,14.860466003417969,0.0,0.0,0.0,0.0,0.0,0.0
14006,177.3000030517578,22.430696487426758,0.0,0.0,0.0,0.0,0.0,0.0
14016,177.4499969482422,18.714895248413086,0.0,0.0,0.0,0.0,0.0,0.0
14026,177.59999084472656,16.85767936706543,0.0,0.0,0.0,0.0,0.0,0.0
14036,177.75,15.929069519042969,0.0,0.0,0.0,0.0,0.0,0.0
14046,177.75,7.964534759521484,0.0,0.0,0.0,0.0,0.0,0.0
14056,177.90000915527344,11.481815338134766,0.0,0.0,0.0,0.0,0.0,0.0
14066,178.0500030517578,13.241138458251953,0.0,0.0,0.0,0.0,0.0,0.0
14076,178.20001220703125,14.120800018310547,0.0,0.0,0.0,0.0,0.0,0.0
14085,178.20001220703125,7.060400009155273,0.0,0.0,0.0,0.0,0.0,0.0
14096,178.34999084472656,11.02974796295166,0.0,0.0,0.0,0.0,0.0,0.0
14106,178.5,13.015104293823242,0.0,0.0,0.0,0.0,0.0,0.0
14116,178.65000915527344,14.007782936096191,0.0,0.0,0.0,0.0,0.0,0.0
14126,178.65000915527344,7.003891468048096,0.0,0.0,0.0,0.0,0.0,0.0
14136,178.79998779296875,11.001493453979492,0.0,0.0,0.0,0.0,0.0,0.0
14146,178.79998779296875,5.500746726989746,0.0,0.0,0.0,0.0,0.0,0.0
14156,178.79998779296875,2.750373363494873,0.0,0.0,0.0,0.0,0.0,0.0
14166,178.9499969482422,8.875417709350586,0.0,0.0,0.0,0.0,0.0,0.0
14176,178.9499969482422,4.437708854675293,0.0,0.0,0.0,0.0,0.0,0.0
14185,179.10000610351562,9.719085693359375,0.0,0.0,0.0,0.0,0.0,0.0
14196,179.10000610351562,4.8595428466796875,0.0,0.0,0.0,0.0,0.0,0.0
14206,179.25,9.929319381713867,0.0,0.0,0.0,0.0,0.0,0.0
14216,179.25,4.964659690856934,0.0,0.0,0.0,0.0,0.0,0.0
14226,179.40000915527344,9.982561111450195,0.0,0.0,0.0,0.0,0.0,0.0
14236,179.55001831054688,12.491511344909668,0.0,0.0,0.0,0.0,0.0,0.0
14246,179.55001831054688,6.245755672454834,0.0,0.0,0.0,0.0,0.0,0.0
14256,179.6999969482422,10.622425079345703,0.0,0.0,0.0,0.0,0.0,0.0
14266,179.85000610351562,12.811443328857422,0.0,0.0,0.0,0.0,0.0,0.0
14276,180.0,13.905953407287598,0.0,0.0,0.0,0.0,0.0,0.0
14285,180.14999389648438,14.452523231506348,0.0,0.0,0.0,0.0,0.0,0.0
14296,180.29998779296875,14.726492881774902,0.0,0.0,0.0,0.0,0.0,0.0
14306,180.4499969482422,14.863476753234863,0.0,0.0,0.0,0.0,0.0,0.0
14316,180.60000610351562,14.93128490447998,0.0,0.0,0.0,0.0,0.0,0.0
14326,180.60000610351562,7.46564245223999,0.0,0.0,0.0,0.0,0.0,0.0
14336,180.75,11.233051300048828,0.0,0.0,0.0,0.0,0.0,0.0
14346,180.90000915527344,13.1167573928833,0.0,0.0,0.0,0.0,0.0,0.0
14356,180.90000915527344,6.55837869644165,0.0,0.0,0.0,0.0,0.0,0.0
14366,181.0500030517578,10.77873706817627,0.0,0.0,0.0,0.0,0.0,0.0
14376,181.0500030517578,5.389368534088135,0.0,0.0,0.0,0.0,0.0,0.0
14385,181.0500030517578,2.6946842670440674,0.0,0.0,0.0,0.0,0.0,0.0
14396,181.0500030517578,1.3473421335220337,0.0,0.0,0.0,0.0,0.0,0.0
14406,181.0500030517578,0.6736710667610168,0.0,0.0,0.0,0.0,0.0,0.0
14416,181.0500030517578,0.3368355333805084,0.0,0.0,0.0,0.0,0.0,0.0
14426,181.0500030517578,0.1684177666902542,0.0,0.0,0.0,0.0,0.0,0.0
14436,181.0500030517578,0.0842088833451271,0.0,0.0,0.0,0.0,0.0,0.0
14446,181.1999969482422,7.542335510253906,0.0,0.0,0.0,0.0,0.0,0.0
14456,181.1999969482422,3.771167755126953,0.0,0.0,0.0,0.0,0.0,0.0
