t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u,yref,tempo_computacional,cod_erro
144108,0.0,0.0,0.0,0.0,5.597369194030762,0.010989189147949219,-1.0,-1.0
144118,0.0,0.0,0.0,0.0,5.597369194030762,0.01831531524658203,-1.0,-1.0
144128,0.0,0.0,0.0,0.0,5.597369194030762,0.0036630630493164062,-1.0,-1.0
144138,0.0,0.0,0.0,0.0,5.597369194030762,0.0036630630493164062,-1.0,-1.0
144148,0.0,0.0,0.0,0.0,5.597369194030762,0.0036630630493164062,-1.0,-1.0
144158,0.0,0.0,0.0,0.0,5.597369194030762,0.0036630630493164062,-1.0,-1.0
144167,0.0,0.0,0.0,0.0,5.597369194030762,0.010989189147949219,-1.0,-1.0
144178,0.0,0.0,0.0,0.0,5.597369194030762,0.0036630630493164062,-1.0,-1.0
144187,0.0,0.0,0.0,0.0,5.597369194030762,0.0036630630493164062,-1.0,-1.0
144198,0.0,0.0,0.0,0.0,5.597369194030762,0.010989189147949219,-1.0,-1.0
144208,0.0,0.0,0.0,0.0,5.597369194030762,0.0036630630493164062,-1.0,-1.0
144218,0.0,0.0,0.0,0.0,5.597369194030762,0.0036630630493164062,-1.0,-1.0
144228,0.0,0.0,0.0,0.0,5.597369194030762,0.0036630630493164062,-1.0,-1.0
144238,0.0,0.0,0.0,0.0,5.597369194030762,0.010989189147949219,-1.0,-1.0
144248,0.0,0.0,0.0,0.0,5.597369194030762,0.0036630630493164062,-1.0,-1.0
144258,0.0,0.0,0.0,0.0,5.597369194030762,0.0036630630493164062,-1.0,-1.0
144267,0.0,0.0,0.0,0.0,5.597369194030762,0.0036630630493164062,-1.0,-1.0
144278,0.0,0.0,0.0,0.0,5.597369194030762,0.0036630630493164062,-1.0,-1.0
144287,0.0,0.0,0.0,0.0,5.597369194030762,0.0036630630493164062,-1.0,-1.0
144298,0.0,0.0,0.0,0.0,5.597369194030762,0.0036630630493164062,-1.0,-1.0
144308,0.0,0.0,0.0,0.0,5.597369194030762,0.010989189147949219,-1.0,-1.0
