t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u,yref,tempo_computacional,cod_erro
18907,179.10000610351562,-4.218522548675537,0.0,0.0,0.0,0.0,0.0,0.0
18917,179.10000610351562,-2.1092612743377686,0.0,0.0,0.0,0.0,0.0,0.0
18927,178.9499969482422,-8.554862022399902,0.0,0.0,0.0,0.0,0.0,0.0
18937,178.9499969482422,-4.277431011199951,0.0,0.0,0.0,0.0,0.0,0.0
18947,178.9499969482422,-2.1387155055999756,0.0,0.0,0.0,0.0,0.0,0.0
18957,178.9499969482422,-1.0693577527999878,0.0,0.0,0.0,0.0,0.0,0.0
18966,178.79998779296875,-8.034910202026367,0.0,0.0,0.0,0.0,0.0,0.0
18978,178.79998779296875,-4.017455101013184,0.0,0.0,0.0,0.0,0.0,0.0
18986,178.79998779296875,-2.008727550506592,0.0,0.0,0.0,0.0,0.0,0.0
18997,178.79998779296875,-1.004363775253296,0.0,0.0,0.0,0.0,0.0,0.0
19007,178.65000915527344,-8.001729965209961,0.0,0.0,0.0,0.0,0.0,0.0
19017,178.65000915527344,-4.0008649826049805,0.0,0.0,0.0,0.0,0.0,0.0
19027,178.65000915527344,-2.0004324913024902,0.0,0.0,0.0,0.0,0.0,0.0
19037,178.65000915527344,-1.0002162456512451,0.0,0.0,0.0,0.0,0.0,0.0
19047,178.79998779296875,6.999439239501953,0.0,0.0,0.0,0.0,0.0,0.0
19057,178.79998779296875,3.4997196197509766,0.0,0.0,0.0,0.0,0.0,0.0
19066,178.79998779296875,1.7498598098754883,0.0,0.0,0.0,0.0,0.0,0.0
19078,178.79998779296875,0.8749299049377441,0.0,0.0,0.0,0.0,0.0,0.0
19086,178.79998779296875,0.43746495246887207,0.0,0.0,0.0,0.0,0.0,0.0
19097,178.79998779296875,0.21873247623443604,0.0,0.0,0.0,0.0,0.0,0.0
19107,178.79998779296875,0.10936623811721802,0.0,0.0,0.0,0.0,0.0,0.0
19117,178.9499969482422,7.5549139976501465,0.0,0.0,0.0,0.0,0.0,0.0
19127,178.9499969482422,3.7774569988250732,0.0,0.0,0.0,0.0,0.0,0.0
19137,178.9499969482422,1.8887284994125366,0.0,0.0,0.0,0.0,0.0,0.0
19147,178.9499969482422,0.9443642497062683,0.0,0.0,0.0,0.0,0.0,0.0
19157,178.9499969482422,0.47218212485313416,0.0,0.0,0.0,0.0,0.0,0.0
19166,179.10000610351562,7.736321926116943,0.0,0.0,0.0,0.0,0.0,0.0
19178,179.25,11.367709159851074,0.0,0.0,0.0,0.0,0.0,0.0
19186,179.25,5.683854579925537,0.0,0.0,0.0,0.0,0.0,0.0
19197,179.40000915527344,10.342158317565918,0.0,0.0,0.0,0.0,0.0,0.0
19207,179.55001831054688,12.671309471130371,0.0,0.0,0.0,0.0,0.0,0.0
19217,179.6999969482422,13.83520221710205,0.0,0.0,0.0,0.0,0.0,0.0
19227,179.85000610351562,14.417832374572754,0.0,0.0,0.0,0.0,0.0,0.0
19237,180.0,14.709146499633789,0.0,0.0,0.0,0.0,0.0,0.0
19247,180.14999389648438,14.854122161865234,0.0,0.0,0.0,0.0,0.0,0.0
19257,180.29998779296875,14.927291870117188,0.0,0.0,0.0,0.0,0.0,0.0
19266,180.4499969482422,14.963875770568848,0.0,0.0,0.0,0.0,0.0,0.0
19278,180.4499969482422,7.481937885284424,0.0,0.0,0.0,0.0,0.0,0.0
19286,180.60000610351562,11.240516662597656,0.0,0.0,0.0,0.0,0.0,0.0
19297,180.60000610351562,5.620258331298828,0.0,0.0,0.0,0.0,0.0,0.0
19307,180.60000610351562,2.810129165649414,0.0,0.0,0.0,0.0,0.0,0.0
19317,180.75,8.905295372009277,0.0,0.0,0.0,0.0,0.0,0.0
19327,180.75,4.452647686004639,0.0,0.0,0.0,0.0,0.0,0.0
19337,180.75,2.2263238430023193,0.0,0.0,0.0,0.0,0.0,0.0
19347,180.90000915527344,8.61339282989502,0.0,0.0,0.0,0.0,0.0,0.0
19357,180.90000915527344,4.30669641494751,0.0,0.0,0.0,0.0,0.0,0.0
19366,180.90000915527344,2.153348207473755,0.0,0.0,0.0,0.0,0.0,0.0
19378,180.90000915527344,1.0766741037368774,0.0,0.0,0.0,0.0,0.0,0.0
19386,180.90000915527344,0.5383370518684387,0.0,0.0,0.0,0.0,0.0,0.0
19397,180.90000915527344,0.26916852593421936,0.0,0.0,0.0,0.0,0.0,0.0
19407,180.90000915527344,0.13458426296710968,0.0,0.0,0.0,0.0,0.0,0.0
19417,180.75,-7.432939052581787,0.0,0.0,0.0,0.0,0.0,0.0
