t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u,yref,tempo_computacional,cod_erro
12422,176.5500030517578,0.9447822570800781,0.0,0.0,0.0,0.0,0.0,0.0
12432,176.5500030517578,0.47239112854003906,0.0,0.0,0.0,0.0,0.0,0.0
12442,176.5500030517578,0.23619556427001953,0.0,0.0,0.0,0.0,0.0,0.0
12452,176.70001220703125,7.618328094482422,0.0,0.0,0.0,0.0,0.0,0.0
12462,176.70001220703125,3.809164047241211,0.0,0.0,0.0,0.0,0.0,0.0
12472,176.70001220703125,1.9045820236206055,0.0,0.0,0.0,0.0,0.0,0.0
12481,176.5500030517578,-6.547939777374268,0.0,0.0,0.0,0.0,0.0,0.0
12492,176.5500030517578,-3.273969888687134,0.0,0.0,0.0,0.0,0.0,0.0
12501,176.5500030517578,-1.636984944343567,0.0,0.0,0.0,0.0,0.0,0.0
12512,176.5500030517578,-0.8184924721717834,0.0,0.0,0.0,0.0,0.0,0.0
12522,176.39999389648438,-7.908793926239014,0.0,0.0,0.0,0.0,0.0,0.0
12532,176.39999389648438,-3.954396963119507,0.0,0.0,0.0,0.0,0.0,0.0
12542,176.25,-9.477429389953613,0.0,0.0,0.0,0.0,0.0,0.0
12552,176.25,-4.738714694976807,0.0,0.0,0.0,0.0,0.0,0.0
12562,176.09999084472656,-9.869587898254395,0.0,0.0,0.0,0.0,0.0,0.0
12572,176.09999084472656,-4.934793949127197,0.0,0.0,0.0,0.0,0.0,0.0
12581,176.09999084472656,-2.4673969745635986,0.0,0.0,0.0,0.0,0.0,0.0
12592,176.09999084472656,-1.2336984872817993,0.0,0.0,0.0,0.0,0.0,0.0
12601,175.95001220703125,-8.116395950317383,0.0,0.0,0.0,0.0,0.0,0.0
12612,175.95001220703125,-4.058197975158691,0.0,0.0,0.0,0.0,0.0,0.0
12622,175.95001220703125,-2.0290989875793457,0.0,0.0,0.0,0.0,0.0,0.0
12632,175.95001220703125,-1.0145494937896729,0.0,0.0,0.0,0.0,0.0,0.0
12642,175.95001220703125,-0.5072747468948364,0.0,0.0,0.0,0.0,0.0,0.0
12652,175.95001220703125,-0.2536373734474182,0.0,0.0,0.0,0.0,0.0,0.0
12662,175.8000030517578,-7.627049446105957,0.0,0.0,0.0,0.0,0.0,0.0
12672,175.8000030517578,-3.8135247230529785,0.0,0.0,0.0,0.0,0.0,0.0
12681,175.8000030517578,-1.9067623615264893,0.0,0.0,0.0,0.0,0.0,0.0
12692,175.8000030517578,-0.9533811807632446,0.0,0.0,0.0,0.0,0.0,0.0
12701,175.64999389648438,-7.976921558380127,0.0,0.0,0.0,0.0,0.0,0.0
12712,175.64999389648438,-3.9884607791900635,0.0,0.0,0.0,0.0,0.0,0.0
12722,175.64999389648438,-1.9942303895950317,0.0,0.0,0.0,0.0,0.0,0.0
12732,175.8000030517578,6.503115177154541,0.0,0.0,0.0,0.0,0.0,0.0
12742,175.8000030517578,3.2515575885772705,0.0,0.0,0.0,0.0,0.0,0.0
12752,175.8000030517578,1.6257787942886353,0.0,0.0,0.0,0.0,0.0,0.0
12762,175.95001220703125,8.31312084197998,0.0,0.0,0.0,0.0,0.0,0.0
12772,175.95001220703125,4.15656042098999,0.0,0.0,0.0,0.0,0.0,0.0
12781,175.95001220703125,2.078280210494995,0.0,0.0,0.0,0.0,0.0,0.0
12792,175.95001220703125,1.0391401052474976,0.0,0.0,0.0,0.0,0.0,0.0
12801,175.95001220703125,0.5195700526237488,0.0,0.0,0.0,0.0,0.0,0.0
12812,176.09999084472656,7.759332656860352,0.0,0.0,0.0,0.0,0.0,0.0
12822,176.09999084472656,3.879666328430176,0.0,0.0,0.0,0.0,0.0,0.0
12832,176.25,9.4400634765625,0.0,0.0,0.0,0.0,0.0,0.0
12842,176.25,4.72003173828125,0.0,0.0,0.0,0.0,0.0,0.0
12852,176.39999389648438,9.860247611999512,0.0,0.0,0.0,0.0,0.0,0.0
12862,176.5500030517578,12.429671287536621,0.0,0.0,0.0,0.0,0.0,0.0
12872,176.70001220703125,13.715065956115723,0.0,0.0,0.0,0.0,0.0,0.0
12881,176.70001220703125,6.857532978057861,0.0,0.0,0.0,0.0,0.0,0.0
12892,176.85000610351562,10.928997039794922,0.0,0.0,0.0,0.0,0.0,0.0
12901,177.0,12.964046478271484,0.0,0.0,0.0,0.0,0.0,0.0
12912,177.0,6.482023239135742,0.0,0.0,0.0,0.0,0.0,0.0
12922,177.14999389648438,10.741243362426758,0.0,0.0,0.0,0.0,0.0,0.0
12932,177.14999389648438,5.370621681213379,0.0,0.0,0.0,0.0,0.0,0.0
12942,177.14999389648438,2.6853108406066895,0.0,0.0,0.0,0.0,0.0,0.0
12952,177.14999389648438,1.3426554203033447,0.0,0.0,0.0,0.0,0.0,0.0
12962,177.14999389648438,0.6713277101516724,0.0,0.0,0.0,0.0,0.0,0.0
12972,177.14999389648438,0.3356638550758362,0.0,0.0,0.0,0.0,0.0,0.0
12981,177.14999389648438,0.1678319275379181,0.0,0.0,0.0,0.0,0.0,0.0
12992,177.14999389648438,0.08391596376895905,0.0,0.0,0.0,0.0,0.0,0.0
13001,177.14999389648438,0.04195798188447952,0.0,0.0,0.0,0.0,0.0,0.0
13012,177.14999389648438,0.02097899094223976,0.0,0.0,0.0,0.0,0.0,0.0
13022,177.14999389648438,0.01048949547111988,0.0,0.0,0.0,0.0,0.0,0.0
13032,177.14999389648438,0.00524474773555994,0.0,0.0,0.0,0.0,0.0,0.0
13042,177.14999389648438,0.00262237386777997,0.0,0.0,0.0,0.0,0.0,0.0
13052,177.3000030517578,7.501542091369629,0.0,0.0,0.0,0.0,0.0,0.0
13062,177.3000030517578,3.7507710456848145,0.0,0.0,0.0,0.0,0.0,0.0
13072,177.4499969482422,9.374933242797852,0.0,0.0,0.0,0.0,0.0,0.0
13081,177.59999084472656,12.187697410583496,0.0,0.0,0.0,0.0,0.0,0.0
13092,177.59999084472656,6.093848705291748,0.0,0.0,0.0,0.0,0.0,0.0
13101,177.75,10.547155380249023,0.0,0.0,0.0,0.0,0.0,0.0
13112,177.75,5.273577690124512,0.0,0.0,0.0,0.0,0.0,0.0
13122,177.90000915527344,10.136336326599121,0.0,0.0,0.0,0.0,0.0,0.0
13132,178.0500030517578,12.568398475646973,0.0,0.0,0.0,0.0,0.0,0.0
13142,178.20001220703125,13.784430503845215,0.0,0.0,0.0,0.0,0.0,0.0
13152,178.34999084472656,14.391762733459473,0.0,0.0,0.0,0.0,0.0,0.0
13162,178.5,14.696111679077148,0.0,0.0,0.0,0.0,0.0,0.0
13172,178.65000915527344,14.848285675048828,0.0,0.0,0.0,0.0,0.0,0.0
13181,178.79998779296875,14.923689842224121,0.0,0.0,0.0,0.0,0.0,0.0
13192,178.9499969482422,14.962075233459473,0.0,0.0,0.0,0.0,0.0,0.0
13201,178.9499969482422,7.481037616729736,0.0,0.0,0.0,0.0,0.0,0.0
13212,179.10000610351562,11.240750312805176,0.0,0.0,0.0,0.0,0.0,0.0
13222,179.10000610351562,5.620375156402588,0.0,0.0,0.0,0.0,0.0,0.0
13232,179.25,10.309735298156738,0.0,0.0,0.0,0.0,0.0,0.0
13242,179.25,5.154867649078369,0.0,0.0,0.0,0.0,0.0,0.0
13252,179.40000915527344,10.077664375305176,0.0,0.0,0.0,0.0,0.0,0.0
13262,179.40000915527344,5.038832187652588,0.0,0.0,0.0,0.0,0.0,0.0
13272,179.40000915527344,2.519416093826294,0.0,0.0,0.0,0.0,0.0,0.0
13281,179.55001831054688,8.75993824005127,0.0,0.0,0.0,0.0,0.0,0.0
13292,179.55001831054688,4.379969120025635,0.0,0.0,0.0,0.0,0.0,0.0
13301,179.6999969482422,9.689533233642578,0.0,0.0,0.0,0.0,0.0,0.0
13312,179.85000610351562,12.344996452331543,0.0,0.0,0.0,0.0,0.0,0.0
13322,180.0,13.672728538513184,0.0,0.0,0.0,0.0,0.0,0.0
13332,180.14999389648438,14.335911750793457,0.0,0.0,0.0,0.0,0.0,0.0
13342,180.14999389648438,7.1679558753967285,0.0,0.0,0.0,0.0,0.0,0.0
13352,180.29998779296875,11.084208488464355,0.0,0.0,0.0,0.0,0.0,0.0
13362,180.4499969482422,13.042335510253906,0.0,0.0,0.0,0.0,0.0,0.0
13372,180.60000610351562,14.02071475982666,0.0,0.0,0.0,0.0,0.0,0.0
13381,180.60000610351562,7.01035737991333,0.0,0.0,0.0,0.0,0.0,0.0
13392,180.75,11.005409240722656,0.0,0.0,0.0,0.0,0.0,0.0
13401,180.75,5.502704620361328,0.0,0.0,0.0,0.0,0.0,0.0
13412,180.75,2.751352310180664,0.0,0.0,0.0,0.0,0.0,0.0
13422,180.60000610351562,-6.124554634094238,0.0,0.0,0.0,0.0,0.0,0.0
13432,180.60000610351562,-3.062277317047119,0.0,0.0,0.0,0.0,0.0,0.0
13442,180.60000610351562,-1.5311386585235596,0.0,0.0,0.0,0.0,0.0,0.0
13452,180.4499969482422,-8.265117645263672,0.0,0.0,0.0,0.0,0.0,0.0
13462,180.4499969482422,-4.132558822631836,0.0,0.0,0.0,0.0,0.0,0.0
13472,180.4499969482422,-2.066279411315918,0.0,0.0,0.0,0.0,0.0,0.0
13481,180.29998779296875,-8.533370018005371,0.0,0.0,0.0,0.0,0.0,0.0
13492,180.14999389648438,-11.766916275024414,0.0,0.0,0.0,0.0,0.0,0.0
13501,180.14999389648438,-5.883458137512207,0.0,0.0,0.0,0.0,0.0,0.0
