tempo_us,erro
14.051,0
6.587,0
6.314,0
2.887,0
2.854,0
2.853,0
2.856,0
2.863,0
2.9,0
2.875,0
2.875,0
2.841,0
2.836,0
2.84,0
2.854,0
2.847,0
2.85,0
2.851,0
2.897,0
2.879,0
2.889,0
2.857,0
2.853,0
2.844,0
2.855,0
2.844,0
2.849,0
2.851,0
2.893,0
2.881,0
2.885,0
2.848,0
2.854,0
2.848,0
2.848,0
2.844,0
2.877,0
2.86,0
2.882,0
2.877,0
2.881,0
2.852,0
2.836,0
2.848,0
2.858,0
2.848,0
2.844,0
2.854,0
2.89,0
2.87,0
2.875,0
2.844,0
2.836,0
2.848,0
2.837,0
2.841,0
2.856,0
2.846,0
2.893,0
2.87,0
2.888,0
2.848,0
2.848,0
2.848,0
2.832,0
2.844,0
2.836,0
2.84,0
2.878,0
2.858,0
2.878,0
2.844,0
2.856,0
2.844,0
2.85,0
2.855,0
2.848,0
2.848,0
2.894,0
2.865,0
2.889,0
2.855,0
2.859,0
2.851,0
2.853,0
2.853,0
6.287,0
6.167,0
2.942,0
2.881,0
2.895,0
6.283,0
6.173,0
2.901,0
2.856,0
2.849,0
10.806,0
4.039,0
10.607,0
2.927,0
2.895,0
2.851,0
2.855,0
2.858,0
2.853,0
2.848,0
2.851,0
2.853,0
2.887,0
2.864,0
2.885,0
2.853,0
2.849,0
2.859,0
2.846,0
2.85,0
2.849,0
2.86,0
2.883,0
2.877,0
2.897,0
2.855,0
2.85,0
2.844,0
2.844,0
2.851,0
2.848,0
2.854,0
2.89,0
2.867,0
2.888,0
2.863,0
2.848,0
2.85,0
2.844,0
2.848,0
2.857,0
2.848,0
2.894,0
2.866,0
2.882,0
2.851,0
2.845,0
2.837,0
2.855,0
2.848,0
2.845,0
2.848,0
2.889,0
2.864,0
2.884,0
2.848,0
2.852,0
2.852,0
2.848,0
2.856,0
2.844,0
2.851,0
2.885,0
2.867,0
2.888,0
2.836,0
2.84,0
2.833,0
2.84,0
2.833,0
2.84,0
2.831,0
2.879,0
2.854,0
2.88,0
2.833,0
2.84,0
2.833,0
2.851,0
2.836,0
2.847,0
2.848,0
2.895,0
2.869,0
2.877,0
2.856,0
2.854,0
2.848,0
2.849,0
2.845,0
2.852,0
2.844,0
2.897,0
2.865,0
2.874,0
2.848,0
2.853,0
2.849,0
2.849,0
2.833,0
2.849,0
2.844,0
2.883,0
2.871,0
2.885,0
2.857,0
2.856,0
2.848,0
2.845,0
2.848,0
2.833,0
2.848,0
2.885,0
2.869,0
2.892,0
2.852,0
2.848,0
2.851,0
2.844,0
2.856,0
2.848,0
2.851,0
2.889,0
2.866,0
2.884,0
2.848,0
2.832,0
2.843,0
2.836,0
2.84,0
2.832,0
2.84,0
2.872,0
2.86,0
2.872,0
2.84,0
2.832,0
2.84,0
2.832,0
2.84,0
2.832,0
2.84,0
2.87,0
2.861,0
2.872,0
2.84,0
2.832,0
2.84,0
2.832,0
2.84,0
2.832,0
2.844,0
2.89,0
2.877,0
2.893,0
2.844,0
2.846,0
2.844,0
2.844,0
2.848,0
2.849,0
2.852,0
2.877,0
2.866,0
2.888,0
2.855,0
2.849,0
2.848,0
