tempo_us,erro
22.304,0
4.208,0
2.924,0
2.943,0
3.993,0
2.935,0
2.957,0
2.938,0
2.956,0
6.16,0
6.298,0
10.737,0
10.629,0
10.713,0
8.439,0
6.239,0
6.214,0
2.863,0
2.791,0
2.804,0
8.304,0
10.575,0
4.036,0
2.968,0
6.207,0
6.142,0
3.984,0
2.92,0
2.953,0
2.957,0
2.915,0
2.954,0
4.023,0
4.003,0
2.958,0
2.964,0
2.969,0
2.967,0
14.803,0
16.966,0
4.023,0
16.959,0
12.766,0
2.918,0
22.063,0
26.493,0
8.674,0
2.955,0
18.11,0
12.715,0
28.46,0
3.993,0
2.892,0
8.463,0
2.966,0
2.919,0
2.931,0
10.702,0
18.608,0
22.138,0
12.491,0
2.968,0
2.941,0
2.934,0
4.034,0
2.931,0
2.965,0
3.99,0
3.997,0
2.956,0
2.891,0
2.881,0
8.943,0
6.691,0
9.982,0
18.127,0
44.045,64
42.78,64
38.686,64
8.685,0
20.218,0
12.703,0
2.954,0
8.228,0
8.343,0
36.162,64
24.283,0
10.519,0
8.643,0
4.035,0
12.791,0
26.348,0
8.779,0
22.39,0
22.423,0
12.797,0
16.873,0
12.686,0
3.994,0
2.938,0
2.912,0
2.895,0
2.917,0
2.945,0
6.188,0
6.171,0
8.473,0
6.283,0
10.496,0
8.492,0
12.737,0
12.764,0
4.025,0
6.163,0
2.892,0
14.765,0
22.187,0
4.031,0
2.947,0
2.939,0
2.9,0
8.34,0
3.98,0
2.916,0
8.388,0
4.006,0
2.956,0
8.458,0
4.054,0
2.938,0
14.713,0
2.883,0
2.813,0
6.149,0
8.417,0
10.511,0
6.127,0
6.147,0
8.423,0
26.423,0
6.289,0
2.957,0
2.933,0
2.897,0
2.885,0
2.936,0
2.91,0
3.997,0
2.935,0
3.991,0
2.922,0
2.922,0
2.956,0
2.924,0
2.928,0
2.966,0
2.937,0
3.989,0
8.514,0
8.515,0
12.753,0
4.008,0
14.8,0
6.248,0
4.009,0
2.935,0
2.944,0
3.989,0
2.956,0
2.945,0
2.95,0
2.91,0
2.944,0
2.946,0
2.916,0
2.957,0
2.964,0
26.575,0
12.831,0
4.067,0
2.924,0
2.952,0
2.952,0
2.928,0
2.888,0
