t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u
45013,0.0,0.0,0.0,0.0,0.0
45023,0.0,0.0,0.0,0.0,0.0
45033,0.0,0.0,0.0,0.0,0.0
45043,0.0,0.0,0.0,0.0,0.0
45053,0.0,0.0,0.0,0.0,0.0
45063,0.0,0.0,0.0,0.0,0.0
45073,0.0,0.0,0.0,0.0,0.0
45082,0.0,0.0,0.0,0.0,0.0
45093,0.0,0.0,0.0,0.0,0.0
45102,0.0,0.0,0.0,0.0,0.0
45113,0.0,0.0,0.0,0.0,0.0
45123,0.0,0.0,0.0,0.0,0.0
45133,0.0,0.0,0.0,0.0,0.0
45143,0.0,0.0,0.0,0.0,0.0
45153,0.0,0.0,0.0,0.0,0.0
45163,0.0,0.0,0.0,0.0,0.0
45173,0.0,0.0,0.0,0.0,0.0
45182,0.0,0.0,0.0,0.0,0.0
45193,0.0,0.0,0.0,0.0,0.0
45202,0.0,0.0,0.0,0.0,0.0
45213,0.0,0.0,0.0,0.0,0.0
45223,0.0,0.0,0.0,0.0,0.0
45233,0.0,0.0,0.0,0.0,0.0
45243,0.0,0.0,0.0,0.0,0.0
45253,0.0,0.0,0.0,0.0,0.0
45263,0.0,0.0,0.0,0.0,0.0
45273,0.0,0.0,0.0,0.0,0.0
45282,0.0,0.0,0.0,0.0,0.0
45293,0.0,0.0,0.0,0.0,0.0
45302,0.0,0.0,0.0,0.0,0.0
45313,0.0,0.0,0.0,0.0,0.0
45323,0.0,0.0,0.0,0.0,0.0
45333,0.0,0.0,0.0,0.0,0.0
45343,0.0,0.0,0.0,0.0,0.0
45353,0.0,0.0,0.0,0.0,0.0
45363,0.0,0.0,0.0,0.0,0.0
45373,0.0,0.0,0.0,0.0,0.0
45382,0.0,0.0,0.0,0.0,0.0
45393,0.0,0.0,0.0,0.0,0.0
45402,0.0,0.0,0.0,0.0,0.0
45413,0.0,0.0,0.0,0.0,0.0
45423,0.0,0.0,0.0,0.0,0.0
45433,0.0,0.0,0.0,0.0,0.0
45443,0.0,0.0,0.0,0.0,0.0
45453,0.0,0.0,0.0,0.0,0.0
45463,0.0,0.0,0.0,0.0,0.0
45473,0.0,0.0,0.0,0.0,0.0
45482,0.0,0.0,0.0,0.0,0.0
45493,0.0,0.0,0.0,0.0,0.0
45502,0.0,0.0,0.0,0.0,0.0
45513,0.0,0.0,0.0,0.0,0.0
45523,0.0,0.0,0.0,0.0,0.0
45533,0.0,0.0,0.0,0.0,0.0
45543,0.0,0.0,0.0,0.0,0.0
45553,0.0,0.0,0.0,0.0,0.0
45563,0.0,0.0,0.0,0.0,0.0
45573,0.0,0.0,0.0,0.0,0.0
45582,0.0,0.0,0.0,0.0,0.0
45593,0.0,0.0,0.0,0.0,0.0
45602,0.0,0.0,0.0,0.0,0.0
45613,0.0,0.0,0.0,0.0,0.0
45623,0.0,0.0,0.0,0.0,0.0
45633,0.0,0.0,0.0,0.0,0.0
45643,0.0,0.0,0.0,0.0,0.0
45653,0.0,0.0,0.0,0.0,0.0
45663,0.0,0.0,0.0,0.0,0.0
45673,0.0,0.0,0.0,0.0,0.0
45682,0.0,0.0,0.0,0.0,0.0
45693,0.0,0.0,0.0,0.0,0.0
45702,0.0,0.0,0.0,0.0,0.0
45713,0.0,0.0,0.0,0.0,0.0
45723,0.0,0.0,0.0,0.0,0.0
45733,0.0,0.0,0.0,0.0,0.0
45743,0.0,0.0,0.0,0.0,0.0
45753,0.0,0.0,0.0,0.0,0.0
45763,0.0,0.0,0.0,0.0,0.0
45773,0.0,0.0,0.0,0.0,0.0
45782,0.0,0.0,0.0,0.0,0.0
45793,0.0,0.0,0.0,0.0,0.0
45802,0.0,0.0,0.0,0.0,0.0
45813,0.0,0.0,0.0,0.0,0.0
45823,0.0,0.0,0.0,0.0,0.0
45833,0.0,0.0,0.0,0.0,0.0
45843,0.0,0.0,0.0,0.0,0.0
45853,0.0,0.0,0.0,0.0,0.0
45863,0.0,0.0,0.0,0.0,0.0
45873,0.0,0.0,0.0,0.0,0.0
45882,0.0,0.0,0.0,0.0,0.0
45893,0.0,0.0,0.0,0.0,0.0
45902,0.0,0.0,0.0,0.0,0.0
45913,0.0,0.0,0.0,0.0,0.0
45923,0.0,0.0,0.0,0.0,0.0
45933,0.0,0.0,0.0,0.0,0.0
45943,0.0,0.0,0.0,0.0,0.0
45953,0.0,0.0,0.0,0.0,0.0
45963,0.0,0.0,-0.006879188120365143,-0.34395939111709595,0.0
45973,0.14999999105930328,7.5,-0.08255025744438171,-3.955533266067505,0.0
45983,0.45000001788139343,18.750003814697266,-0.192617267370224,-7.4811177253723145,0.0
45993,0.75,24.375001907348633,-0.34395939111709595,-11.307665824890137,0.0
46002,1.1999999284744263,34.6875,-0.5090599060058594,-13.908857345581055,0.0
46013,1.6499998569488525,39.84375,-0.742952287197113,-18.6490478515625,0.0
46023,2.0999999046325684,42.421875,-0.9699654579162598,-20.675182342529297,0.0
46033,2.6999998092651367,51.210941314697266,-1.2244954109191895,-23.0640926361084,0.0
46043,3.299999713897705,55.60546112060547,-1.485904574394226,-24.602502822875977,0.0
46053,3.9000000953674316,57.802734375,-1.767951250076294,-26.40358543395996,0.0
46063,4.5,58.901371002197266,-2.0637564659118652,-27.99205207824707,0.0
46073,5.09999942779541,59.4506721496582,-2.3595614433288574,-28.786277770996094,0.0
46082,5.549999713897705,52.225341796875,-2.6347289085388184,-28.151512145996094,0.0
46093,6.150000095367432,56.112674713134766,-2.9786882400512695,-31.27372932434082,0.0
46102,6.750000476837158,58.056339263916016,-3.2676141262054443,-30.083158493041992,0.0
46113,7.349999904632568,59.02815246582031,-3.618452787399292,-32.58350372314453,0.0
46123,7.800000190734863,52.01408767700195,-3.9486539363861084,-32.80181121826172,0.0
46133,8.399999618530273,56.00702667236328,-4.278854846954346,-32.91096496582031,0.0
46143,8.850000381469727,50.50352478027344,-4.6159348487854,-33.309478759765625,0.0
46153,9.300000190734863,47.751773834228516,-4.953015327453613,-33.50875473022461,0.0
46163,9.75,46.375892639160156,-5.2969746589660645,-33.95235061645508,0.0
46173,10.19999885559082,45.68791580200195,-5.640933990478516,-34.17414474487305,0.0
46182,10.500000953674316,37.843990325927734,-5.950497627258301,-32.565242767333984,0.0
46193,10.949999809265137,41.42196273803711,-6.328853130340576,-35.20041275024414,0.0
46202,11.09999942779541,28.21099853515625,-6.638416767120361,-33.07837677001953,0.0
46213,11.399999618530273,29.105491638183594,-7.023651123046875,-35.8009147644043,0.0
46223,11.699999809265137,29.552738189697266,-7.367609977722168,-35.098411560058594,0.0
46233,11.850000381469727,22.27638816833496,-7.718449115753174,-35.091148376464844,0.0
46243,12.0,18.63821029663086,-8.062408447265625,-34.743526458740234,0.0
46253,12.149999618530273,16.81907844543457,-8.413247108459473,-34.9137077331543,0.0
46263,12.0,0.9095652103424072,-8.764084815979004,-34.99876403808594,0.0
46273,12.149999618530273,7.9547576904296875,-9.114924430847168,-35.041324615478516,0.0
46282,12.0,-3.5225956439971924,-9.424487113952637,-32.998836517333984,0.0
46293,12.0,-1.7612978219985962,-9.809721946716309,-35.76114273071289,0.0
46302,11.850000381469727,-8.38066577911377,-10.126164436340332,-33.70269775390625,0.0
46313,11.550000190734863,-19.190324783325195,-10.511399269104004,-36.113075256347656,0.0
46323,11.399999618530273,-17.09518051147461,-10.862237930297852,-35.598480224609375,0.0
46333,11.09999942779541,-23.547582626342773,-11.219955444335938,-35.68510437011719,0.0
46343,10.799999237060547,-26.77378273010254,-11.570794105529785,-35.384498596191406,0.0
46353,10.649999618530273,-20.88690948486328,-11.921632766723633,-35.23415756225586,0.0
