t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u
307423,0.0,0.0,0.0,0.0,0.0
307433,0.0,0.0,0.0,0.0,0.0
307443,0.0,0.0,0.0,0.0,0.0
307453,0.0,0.0,0.0,0.0,0.0
307463,0.0,0.0,0.0,0.0,0.0
307473,0.0,0.0,0.0,0.0,0.0
307482,0.0,0.0,0.0,0.0,0.0
307493,0.0,0.0,0.0,0.0,0.0
307502,0.0,0.0,0.0,0.0,0.0
307513,0.0,0.0,0.0,0.0,0.0
307523,0.0,0.0,0.0,0.0,0.0
307533,0.0,0.0,0.0,0.0,0.0
307543,0.0,0.0,0.0,0.0,0.0
307553,0.0,0.0,0.0,0.0,0.0
307563,0.0,0.0,0.0,0.0,0.0
307573,0.0,0.0,0.0,0.0,0.0
307582,0.0,0.0,0.0,0.0,0.0
307593,0.0,0.0,0.0,0.0,0.0
307602,0.0,0.0,0.0,0.0,0.0
307613,0.0,0.0,0.0,0.0,0.0
307623,0.0,0.0,0.0,0.0,0.0
307633,0.0,0.0,0.0,0.0,0.0
307643,0.0,0.0,0.0,0.0,0.0
307653,0.0,0.0,0.0,0.0,0.0
307663,0.0,0.0,0.0,0.0,0.0
307673,0.0,0.0,0.0,0.0,0.0
307682,0.0,0.0,0.0,0.0,0.0
307693,0.0,0.0,0.0,0.0,0.0
307702,0.0,0.0,0.0,0.0,0.0
307713,0.0,0.0,0.0,0.0,0.0
307723,0.0,0.0,0.0,0.0,0.0
307733,0.0,0.0,0.0,0.0,0.0
307743,0.0,0.0,0.0,0.0,0.0
307753,0.0,0.0,0.0,0.0,0.0
307763,0.0,0.0,0.0,0.0,0.0
307773,0.0,0.0,0.0,0.0,0.0
307782,0.0,0.0,0.0,0.0,0.0
307793,0.0,0.0,0.0,0.0,0.0
307802,0.0,0.0,0.0,0.0,0.0
307813,0.0,0.0,0.0,0.0,0.0
307823,0.0,0.0,0.0,0.0,0.0
307833,0.0,0.0,0.0,0.0,0.0
307843,0.0,0.0,0.0,0.0,0.0
307853,0.0,0.0,0.0,0.0,0.0
307863,0.0,0.0,0.0,0.0,0.0
307873,0.0,0.0,0.0,0.0,0.0
307882,0.0,0.0,0.0,0.0,0.0
307893,0.0,0.0,0.0,0.0,0.0
307902,0.0,0.0,0.0,0.0,0.0
307913,0.0,0.0,0.0,0.0,0.0
307923,0.0,0.0,0.0,0.0,0.0
307933,0.0,0.0,0.0,0.0,0.0
307943,0.0,0.0,0.0,0.0,0.0
307953,0.0,0.0,0.0,0.0,0.0
307963,0.0,0.0,0.0,0.0,0.0
307973,0.0,0.0,0.0,0.0,0.0
307982,0.0,0.0,0.0,0.0,0.0
307993,0.0,0.0,0.0,0.0,0.0
308002,0.0,0.0,0.0,0.0,0.0
308013,0.0,0.0,0.0,0.0,0.0
308023,0.0,0.0,0.0,0.0,0.0
308033,0.0,0.0,0.0,0.0,0.0
308043,0.0,0.0,0.0,0.0,0.0
308053,0.0,0.0,0.0,0.0,0.0
308063,0.0,0.0,0.0,0.0,0.0
308073,0.0,0.0,0.0,0.0,0.0
308082,0.0,0.0,0.0,0.0,0.0
308093,0.0,0.0,0.0,0.0,0.0
308102,0.0,0.0,0.0,0.0,0.0
308113,0.0,0.0,0.0,0.0,0.0
308123,0.0,0.0,0.0,0.0,0.0
308133,0.0,0.0,0.0,0.0,0.0
308143,0.0,0.0,0.0,0.0,0.0
308153,0.0,0.0,0.0,0.0,0.0
308163,0.0,0.0,0.0,0.0,0.0
308173,0.0,0.0,0.0,0.0,0.0
308183,0.0,0.0,0.0,0.0,0.0
308193,0.0,0.0,0.0,0.0,0.0
308202,0.0,0.0,0.0,0.0,0.0
308213,0.0,0.0,0.0,0.0,0.0
308223,0.0,0.0,0.0,0.0,0.0
308233,0.0,0.0,0.0,0.0,0.0
308243,0.0,0.0,0.0,0.0,0.0
308253,0.0,0.0,-0.006879188120365143,-0.34395939111709595,0.0
308263,0.0,0.0,0.0,0.17197969555854797,0.0
