t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u,yref
35961,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
35971,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
35981,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
35991,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36000,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36011,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36021,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36031,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36041,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36051,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36061,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36071,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36081,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36091,0.0,0.0,0.0,0.0,0.0,0.7655677795410156
36100,0.0,0.0,0.0,0.0,0.0,0.8974361419677734
36111,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36121,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36131,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36141,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36151,0.0,0.0,0.0,0.0,0.0,0.8095235824584961
36161,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36171,0.0,0.0,0.0,0.0,0.0,0.7435894012451172
36180,0.0,0.0,0.0,0.0,0.0,0.8095235824584961
36191,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36200,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36211,0.0,0.0,0.0,0.0,0.0,0.8095235824584961
36221,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36231,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36241,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36251,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36261,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36271,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36281,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36291,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36300,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36311,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36321,0.0,0.0,0.0,0.0,0.0,0.8021974563598633
36331,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36341,0.0,0.0,0.0,0.0,0.0,0.8241758346557617
36351,0.0,0.0,0.0,0.0,0.0,0.8608055114746094
36361,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36371,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36381,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36391,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36400,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36411,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36421,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36431,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36441,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36451,0.0,0.0,0.0,0.0,0.0,0.8095235824584961
36461,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36471,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36481,0.0,0.0,0.0,0.0,0.0,0.6410255432128906
36491,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36500,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36511,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36521,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36531,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36541,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36551,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36561,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36571,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36581,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36591,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36600,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36611,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36621,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36631,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36641,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36651,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36661,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36671,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36681,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36691,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36700,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36711,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36721,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36731,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36741,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36751,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36761,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36771,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36781,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36791,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36800,0.0,0.0,0.0,0.0,0.0,0.8241758346557617
36811,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36821,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36831,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36841,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36851,0.0,0.0,0.0,0.0,0.0,0.8168497085571289
36872,0.0,0.0,-0.013758376240730286,-0.6879187822341919,0.0,0.8168497085571289
36883,0.0,0.0,-0.05503350496292114,-2.4077157974243164,-0.1786045879125595,0.8168497085571289
36895,0.0,0.0,-0.11694619804620743,-4.299492835998535,-0.6245645880699158,0.8168497085571289
36907,0.29999998211860657,15.0,-0.2063756287097931,-6.621218681335449,-1.1137968301773071,0.8095235824584961
36919,0.45000001788139343,15.0,-0.3026842474937439,-8.1260404586792,-12.0,0.8095235824584961
36931,0.5999999642372131,14.999999046325684,-0.405872106552124,-9.222412109375,-12.0,0.8168497085571289
36932,0.75,15.0,-0.4196304678916931,-5.2991251945495605,-12.0,0.8168497085571289
36933,0.75,7.5,-0.42650964856147766,-2.993521213531494,-12.0,0.8168497085571289
36941,0.9000000357627869,11.250001907348633,-0.5228182673454285,-6.312191486358643,-12.0,0.8168497085571289
36951,1.1999999284744263,20.624998092651367,-0.6879187822341919,-11.411123275756836,-12.0,0.8168497085571289
36961,1.6499998569488525,32.8125,-0.8874152898788452,-15.680384635925293,-12.0,0.8168497085571289
36971,2.25,46.40625,-1.1350659132003784,-20.222726821899414,-12.0,0.8021974563598633
36980,2.6999998092651367,45.703125,-1.3895959854125977,-22.83786392211914,-12.0,0.8095235824584961
36991,3.450000286102295,60.351566314697266,-1.7335553169250488,-28.616899490356445,-12.0,0.8241758346557617
37000,4.199999809265137,67.67577362060547,-2.0362396240234375,-29.442665100097656,-12.0,0.8168497085571289
37011,4.949999809265137,71.337890625,-2.435232400894165,-34.67097854614258,-12.0,0.8168497085571289
37021,5.699999809265137,73.16895294189453,-2.820466995239258,-36.59721755981445,-12.0,0.8168497085571289
37031,6.59999942779541,81.58447265625,-3.2194600105285645,-38.24825668334961,-12.0,0.8168497085571289
37041,7.349999904632568,78.292236328125,-3.632211208343506,-39.76169967651367,-12.0,0.8168497085571289
37051,7.950000286102295,69.1461410522461,-4.05872106552124,-41.206329345703125,-12.0,0.8168497085571289
37061,8.850000381469727,79.57305145263672,-4.492109775543213,-42.27260208129883,-12.0,0.8168497085571289
37071,9.59999942779541,77.2865219116211,-4.932377815246582,-43.14971160888672,-12.0,0.8168497085571289
37081,10.19999885559082,68.64324951171875,-5.386404037475586,-44.276161193847656,-12.0,0.8168497085571289
37091,10.949999809265137,71.82162475585938,-5.84043025970459,-44.83940124511719,-12.0,0.8168497085571289
37100,11.550000190734863,65.91084289550781,-6.2531819343566895,-43.05728530883789,-12.0,0.8168497085571289
37111,12.300000190734863,70.4554214477539,-6.769120693206787,-47.3255729675293,-12.0,0.8095235824584961
37121,12.90000057220459,65.22769165039062,-7.236905574798584,-47.05202102661133,-12.0,0.8168497085571289
37131,13.500000953674316,62.61387634277344,-7.711569786071777,-47.259239196777344,-12.0,0.8168497085571289
37141,14.09999942779541,61.30691909790039,-8.186233520507812,-47.36281204223633,-12.0,0.8095235824584961
37151,14.40000057220459,45.65349578857422,-8.660897254943848,-47.41459655761719,-12.0,0.8095235824584961
37161,15.0,52.82672882080078,-9.142440795898438,-47.78444290161133,-12.0,0.8168497085571289
37171,15.299999237060547,41.41331481933594,-9.623983383178711,-47.9693717956543,-12.0,0.8168497085571289
37181,15.75,43.2066650390625,-10.112406730651855,-48.405826568603516,-12.0,0.8168497085571289
37190,16.049999237060547,36.60336685180664,-10.545794486999512,-45.87232971191406,-12.0,0.8168497085571289
37200,16.19999885559082,25.80165672302246,-11.034217834472656,-47.35730743408203,-12.0,0.8168497085571289
37211,16.349998474121094,20.400802612304688,-11.570794105529785,-50.507484436035156,-12.0,0.8095235824584961
37221,16.5,17.700462341308594,-12.059216499328613,-49.674842834472656,-12.0,0.8168497085571289
37231,16.649999618530273,16.35020637512207,-12.547638893127441,-49.25856399536133,-12.0,0.8168497085571289
37241,16.5,0.6751284003257751,-13.036060333251953,-49.050350189208984,-12.0,0.8168497085571289
37251,16.5,0.3375642001628876,-13.524482727050781,-48.94631576538086,-12.0,0.8168497085571289
37261,16.349998474121094,-7.331277370452881,-14.012906074523926,-48.8942985534668,-12.0,0.8168497085571289
37271,16.19999885559082,-11.165613174438477,-14.501328468322754,-48.868289947509766,6.846874237060547,0.8168497085571289
