t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u,yref
6671,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
6680,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
6691,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
6700,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
6711,0.0,0.0,0.0,0.0,0.0,0.07692337036132812
6721,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
6731,0.0,0.0,0.0,0.0,0.0,0.04029273986816406
6741,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
6751,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
6761,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
6771,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
6780,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
6790,0.0,0.0,0.0,0.0,0.0,0.08424949645996094
6800,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
6811,0.0,0.0,0.0,0.0,0.0,0.05494499206542969
6821,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
6831,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
6841,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
6851,0.0,0.0,0.0,0.0,0.0,0.09157466888427734
6861,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
6871,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
6880,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
6890,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
6900,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
6911,0.0,0.0,0.0,0.0,0.0,0.07692337036132812
6921,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
6931,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
6941,0.0,0.0,0.0,0.0,0.0,0.09157466888427734
6951,0.0,0.0,0.0,0.0,0.0,0.047618865966796875
6961,0.0,0.0,0.0,0.0,0.0,0.07692337036132812
6971,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
6980,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
6990,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7000,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7011,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7021,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7031,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7041,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7051,0.0,0.0,0.0,0.0,0.0,0.07692337036132812
7061,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7071,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7080,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7090,0.0,0.0,0.0,0.0,0.0,0.047618865966796875
7100,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7111,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7121,0.0,0.0,0.0,0.0,0.0,0.07692337036132812
7131,0.0,0.0,0.0,0.0,0.0,0.07692337036132812
7141,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7151,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7161,0.0,0.0,0.0,0.0,0.0,0.07692337036132812
7171,0.0,0.0,0.0,0.0,0.0,0.07692337036132812
7180,0.0,0.0,0.0,0.0,0.0,0.06959724426269531
7190,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7200,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
7211,0.0,0.0,0.0,0.0,0.0,0.0622711181640625
