t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u,yref
8900,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
8911,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
8921,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
8931,0.0,0.0,0.0,0.0,0.0,-0.04029369354248047
8941,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
8951,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
8961,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
8971,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
8981,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
8991,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9000,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9011,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9021,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9031,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9041,0.0,0.0,0.0,0.0,0.0,-0.04029369354248047
9051,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9061,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9071,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9081,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9091,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9100,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9111,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9121,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9131,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9141,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9151,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9161,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9171,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9181,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9191,0.0,0.0,0.0,0.0,0.0,-0.04029369354248047
9200,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9211,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9221,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9231,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9241,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9251,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9261,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9271,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9281,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9290,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9300,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9311,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9321,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9331,0.0,0.0,0.0,0.0,0.0,-0.06959819793701172
9341,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9351,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9361,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9371,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9381,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9391,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9400,0.0,0.0,0.0,0.0,0.0,-0.06959819793701172
9411,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9421,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9431,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9441,0.0,0.0,0.0,0.0,0.0,-0.06959819793701172
9451,0.0,0.0,0.0,0.0,0.0,-0.06959819793701172
9461,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9471,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9481,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9491,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9500,0.0,0.0,0.0,0.0,0.0,-0.06959819793701172
9511,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9521,0.0,0.0,0.0,0.0,0.0,0.047618865966796875
9531,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9541,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9551,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9561,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9571,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9581,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9591,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9600,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9611,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9621,0.0,0.0,0.0,0.0,0.0,-0.06959819793701172
9631,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9641,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9651,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9661,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9671,0.0,0.0,0.0,0.0,0.0,-0.04029369354248047
9681,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9690,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9700,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9711,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9721,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9731,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9741,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9751,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9761,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9771,0.0,0.0,0.0,0.0,0.0,-0.06959819793701172
9781,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9791,0.0,0.0,0.0,0.0,0.0,0.0036630630493164062
9800,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9811,0.0,0.0,0.0,0.0,0.0,-0.04029369354248047
9821,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9831,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9841,0.0,0.0,0.0,0.0,0.0,-0.06959819793701172
9851,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9861,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9871,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9881,0.0,0.0,0.0,0.0,0.0,-0.06959819793701172
9891,0.0,0.0,0.0,0.0,0.0,-0.11355400085449219
9900,0.0,0.0,0.0,0.0,0.0,-0.04761981964111328
9911,0.0,0.0,0.0,0.0,0.0,-0.07692432403564453
9921,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9931,0.0,0.0,0.0,0.0,0.0,-0.054945945739746094
9952,0.0,0.0,-0.006879188120365143,-0.34395939111709595,0.0,-0.054945945739746094
9964,0.0,0.0,-0.048154316842556,-2.235736131668091,-0.08911845833063126,-0.054945945739746094
9976,0.14999999105930328,7.5,-0.11006700992584229,-4.213502883911133,-0.5789022445678711,-0.06959819793701172
9987,0.29999998211860657,11.25,-0.17885887622833252,-5.546345233917236,-12.0,-0.06959819793701172
9999,0.45000001788139343,13.125000953674316,-0.2682883143424988,-7.244645118713379,-12.0,-0.062272071838378906
10011,0.75,21.5625,-0.364596962928772,-8.43775463104248,-12.0,-0.06959819793701172
10012,0.75,10.78125,-0.3714761435985565,-4.562836647033691,-12.0,-0.04761981964111328
10013,0.75,5.390625,-0.385234534740448,-2.969337224960327,-12.0,-0.06959819793701172
10021,0.9000000357627869,10.195314407348633,-0.4677847921848297,-5.612182140350342,-12.0,-0.04029369354248047
10031,1.1999999284744263,20.097654342651367,-0.6260061264038086,-10.717157363891602,-12.0,-0.07692432403564453
10041,1.6499998569488525,32.548824310302734,-0.8186233043670654,-14.989439010620117,-12.0,-0.06959819793701172
10051,2.0999999046325684,38.774410247802734,-1.0525157451629639,-19.189342498779297,-12.0,-0.04761981964111328
10061,2.549999713897705,41.887203216552734,-1.3276832103729248,-23.353044509887695,-12.0,-0.054945945739746094
10071,3.1500000953674316,50.943607330322266,-1.6303675174713135,-26.81073760986328,-12.0,-0.054945945739746094
10081,3.9000000953674316,62.971805572509766,-1.9605685472488403,-29.915416717529297,-12.0,-0.04761981964111328
10091,4.650000095367432,68.98590850830078,-2.318286418914795,-32.84360122680664,-12.0,-0.054945945739746094
10100,5.250000476837158,64.49295806884766,-2.6484873294830322,-32.93185043334961,-12.0,-0.054945945739746094
10111,6.150000095367432,77.24647521972656,-3.081876277923584,-38.135372161865234,-12.0,-0.04761981964111328
10121,6.90000057220459,76.12323760986328,-3.487748384475708,-39.361289978027344,-12.0,-0.062272071838378906
10131,7.649999618530273,75.56159973144531,-3.9004995822906494,-40.318214416503906,-12.0,-0.06959819793701172
10141,8.399999618530273,75.28079986572266,-4.327009201049805,-41.484588623046875,-12.0,0.0036630630493164062
10151,9.149999618530273,75.1404037475586,-4.767277240753174,-42.75568771362305,-12.0,-0.06959819793701172
10161,9.899999618530273,75.07019805908203,-5.207545280456543,-43.39125442504883,-12.0,-0.06959819793701172
10171,10.500000953674316,67.53512573242188,-5.65469217300415,-44.052974700927734,-12.0,-0.04761981964111328
10181,11.25,71.26756286621094,-6.1087188720703125,-44.72780990600586,-12.0,0.0036630630493164062
10190,11.850000381469727,65.6337661743164,-6.521470069885254,-43.00147247314453,-12.0,0.0036630630493164062
10200,12.449999809265137,62.816864013671875,-6.989254951477051,-44.88997268676758,-12.0,-0.04761981964111328
10211,13.19999885559082,68.90843963623047,-7.505194187164307,-48.24195098876953,-12.0,-0.054945945739746094
10221,13.649999618530273,56.954227447509766,-7.972978591918945,-47.51020812988281,-12.0,-0.06959819793701172
10231,14.09999942779541,50.97712326049805,-8.44764232635498,-47.48829650878906,-12.0,-0.054945945739746094
10241,14.550000190734863,47.98857116699219,-8.922306060791016,-47.47734069824219,-12.0,-0.054945945739746094
10251,15.0,46.494293212890625,-9.396970748901367,-47.47189712524414,-12.0,-0.054945945739746094
10261,15.299999237060547,38.247093200683594,-9.871634483337402,-47.469139099121094,-12.0,-0.07692432403564453
10271,15.600000381469727,34.12358474731445,-10.353178024291992,-47.81171798706055,-12.0,-0.07692432403564453
10281,15.90000057220459,32.061824798583984,-10.827841758728027,-47.6390495300293,-12.0,-0.04029369354248047
10291,15.90000057220459,16.030912399291992,-11.3093843460083,-47.896671295166016,-12.0,-0.06959819793701172
