t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u
9086,0.0,0.0,0.0,0.0,0.0
9095,0.0,0.0,0.0,0.0,0.0
9106,0.0,0.0,0.0,0.0,0.0
9115,0.0,0.0,0.0,0.0,0.0
9126,0.0,0.0,0.0,0.0,0.0
9136,0.0,0.0,0.0,0.0,0.0
9146,0.0,0.0,0.0,0.0,0.0
9156,0.0,0.0,0.0,0.0,0.0
9166,0.0,0.0,0.0,0.0,0.0
9176,0.0,0.0,0.0,0.0,0.0
9186,0.0,0.0,0.0,0.0,0.0
9195,0.0,0.0,0.0,0.0,0.0
9206,0.0,0.0,0.0,0.0,0.0
9215,0.0,0.0,0.0,0.0,0.0
9226,0.0,0.0,0.0,0.0,0.0
9236,0.0,0.0,0.0,0.0,0.0
9246,0.0,0.0,0.0,0.0,0.0
9256,0.0,0.0,0.0,0.0,0.0
9266,0.0,0.0,0.0,0.0,0.0
9276,0.0,0.0,0.0,0.0,0.0
9286,0.0,0.0,0.0,0.0,0.0
9295,0.0,0.0,0.0,0.0,0.0
9306,0.0,0.0,0.0,0.0,0.0
9315,0.0,0.0,0.0,0.0,0.0
9326,0.0,0.0,0.0,0.0,0.0
9336,0.0,0.0,0.0,0.0,0.0
9346,0.0,0.0,0.0,0.0,0.0
9356,0.0,0.0,0.0,0.0,0.0
9366,0.0,0.0,0.0,0.0,0.0
9376,0.0,0.0,0.0,0.0,0.0
9386,0.0,0.0,0.0,0.0,0.0
9395,0.0,0.0,0.0,0.0,0.0
9406,0.0,0.0,0.0,0.0,0.0
9415,0.0,0.0,0.0,0.0,0.0
9426,0.0,0.0,0.0,0.0,0.0
9436,0.0,0.0,0.0,0.0,0.0
9446,0.0,0.0,0.0,0.0,0.0
9456,0.0,0.0,0.0,0.0,0.0
9466,0.0,0.0,0.0,0.0,0.0
9476,0.0,0.0,0.0,0.0,0.0
9486,0.0,0.0,0.0,0.0,0.0
9495,0.0,0.0,0.0,0.0,0.0
9506,0.0,0.0,0.0,0.0,0.0
9515,0.0,0.0,0.0,0.0,0.0
9526,0.0,0.0,0.0,0.0,0.0
9536,0.0,0.0,0.0,0.0,0.0
9546,0.0,0.0,0.0,0.0,0.0
9556,0.0,0.0,0.0,0.0,0.0
9566,0.0,0.0,0.0,0.0,0.0
9576,0.0,0.0,0.0,0.0,0.0
9586,0.0,0.0,0.0,0.0,0.0
9595,0.0,0.0,0.0,0.0,0.0
9606,0.0,0.0,0.0,0.0,0.0
9615,0.0,0.0,0.0,0.0,0.0
9626,0.0,0.0,0.0,0.0,0.0
9636,0.0,0.0,0.0,0.0,0.0
9646,0.0,0.0,0.0,0.0,0.0
9656,0.0,0.0,0.0,0.0,0.0
9666,0.0,0.0,0.0,0.0,0.0
9676,0.0,0.0,0.0,0.0,0.0
9686,0.0,0.0,0.0,0.0,0.0
9695,0.0,0.0,0.0,0.0,0.0
9706,0.0,0.0,0.0,0.0,0.0
9715,0.0,0.0,0.0,0.0,0.0
9726,0.0,0.0,0.0,0.0,0.0
9736,0.0,0.0,0.0,0.0,0.0
9746,0.0,0.0,0.0,0.0,0.0
9756,0.0,0.0,0.0,0.0,0.0
9766,0.0,0.0,0.0,0.0,0.0
9776,0.0,0.0,0.0,0.0,0.0
9786,0.0,0.0,0.0,0.0,0.0
9795,0.0,0.0,0.0,0.0,0.0
9806,0.0,0.0,0.0,0.0,0.0
9815,0.0,0.0,0.0,0.0,0.0
9826,0.0,0.0,0.0,0.0,0.0
9836,0.0,0.0,0.0,0.0,0.0
9846,0.0,0.0,0.0,0.0,0.0
9856,0.0,0.0,0.0,0.0,0.0
9866,0.0,0.0,0.0,0.0,0.0
9876,0.0,0.0,0.0,0.0,0.0
9886,0.0,0.0,0.0,0.0,0.0
9895,0.0,0.0,0.0,0.0,0.0
9906,0.0,0.0,0.0,0.0,0.0
9915,0.0,0.0,0.0,0.0,0.0
9926,0.0,0.0,0.0,0.0,0.0
9936,0.0,0.0,0.0,0.0,0.0
9946,0.0,0.0,0.0,0.0,0.0
9956,0.0,0.0,0.0,0.0,0.0
9966,0.0,0.0,0.0,0.0,0.0
9976,0.0,0.0,0.0,0.0,0.0
9986,0.0,0.0,0.0,0.0,0.0
9995,0.0,0.0,0.0,0.0,0.0
10006,0.0,0.0,0.0,0.0,0.0
10015,0.0,0.0,0.0,0.0,0.0
10026,0.0,0.0,0.0,0.0,0.0
10036,0.0,0.0,0.0,0.0,0.0
10046,0.0,0.0,0.0,0.0,0.0
10056,0.0,0.0,0.0,0.0,0.0
10066,0.0,0.0,0.0,0.0,0.0
10076,0.0,0.0,0.0,0.0,0.0
10086,0.0,0.0,0.0,0.0,0.0
10095,0.0,0.0,0.0,0.0,0.0
10106,0.0,0.0,0.0,0.0,0.0
10115,0.0,0.0,0.0,0.0,0.0
10126,0.0,0.0,0.0,0.0,0.0
10136,0.0,0.0,0.0,0.0,0.0
10146,0.0,0.0,0.0,0.0,0.0
10156,0.0,0.0,0.0,0.0,0.0
10166,0.0,0.0,0.0,0.0,0.0
10176,0.0,0.0,0.0,0.0,0.0
10186,0.0,0.0,0.0,0.0,0.0
10195,0.0,0.0,0.0,0.0,0.0
10206,0.0,0.0,0.0,0.0,0.0
10215,0.0,0.0,0.0,0.0,0.0
10226,0.0,0.0,0.0,0.0,0.0
10236,0.0,0.0,0.0,0.0,0.0
10246,0.0,0.0,0.0,0.0,0.0
10256,0.0,0.0,0.0,0.0,0.0
10266,0.0,0.0,0.0,0.0,0.0
10276,0.0,0.0,0.0,0.0,0.0
10286,0.0,0.0,0.0,0.0,0.0
10295,0.0,0.0,0.0,0.0,0.0
10306,0.0,0.0,0.0,0.0,0.0
10315,0.0,0.0,0.0,0.0,0.0
10326,0.0,0.0,0.0,0.0,0.0
10336,0.0,0.0,0.0,0.0,0.0
10346,0.0,0.0,0.0,0.0,0.0
